,id
0,Albot R.
2,Anderson K.
12,Auger-Aliassime F.
17,Basilashvili N.
23,Bautista Agut R.
31,Berrettini M.
36,Carreno Busta P.
44,Cecchinato M.
47,Cilic M.
63,Coric B.
70,De Minaur A.
76,Del Potro J.M.
87,Dimitrov G.
97,Djere L.
100,Djokovic N.
116,Edmund K.
119,Federer R.
134,Fognini F.
147,Fritz T.
152,Fucsovics M.
156,Garin C.
161,Goffin D.
170,Hurkacz H.
175,Isner J.
190,Khachanov K.
197,Kohlschreiber P.
210,Kyrgios N.
217,Medvedev D.
223,Millman J.
227,Monfils G.
243,Nadal R.
259,Nishikori K.
271,Opelka R.
276,Paire B.
285,Pella G.
288,Pouille L.
293,Raonic M.
305,Rublev A.
312,Schwartzman D.
319,Seppi A.
329,Shapovalov D.
335,Simon G.
348,Struff J.L.
352,Thiem D.
361,Tiafoe F.
365,Tsitsipas S.
371,Tsonga J.W.
384,Verdasco F.
396,Wawrinka S.
410,Zverev A.
418,Chardy J.
426,Gasquet R.
439,Herbert P.H.
441,Jarry N.
443,Johnson S.
449,Klizan M.
457,Lajovic D.
462,Alcaraz C.
465,Bublik A.
468,Evans D.
472,Harris L.
475,Humbert U.
478,Karatsev A.
481,Korda S.
483,Krajinovic F.
488,Norrie C.
491,Ramos-Vinolas A.
496,Ruud C.
500,Sinner J.
503,Sonego L.
507,Davidovich Fokina A.
509,Mannarino A.
515,Paul T.
517,Baez S.
519,Delbonis F.
524,Almagro N.
532,Ancic M.
535,Andreev I.
539,Baghdatis M.
547,Berdych T.
559,Blake J.
562,Bolelli S.
565,Canas G.
567,Chela J.I.
571,Davydenko N.
577,Ferrer D.
589,Ferrero J.C.
594,Fish M.
601,Gonzalez F.
605,Haas T.
612,Hewitt L.
616,Karlovic I.
624,Kiefer N.
627,Ljubicic I.
632,Llodra M.
636,Lopez F.
648,Mathieu P.H.
651,Monaco J.
659,Murray A.
670,Nalbandian D.
676,Nieminen J.
684,Robredo T.
693,Roddick A.
699,Santoro F.
702,Schuettler R.
705,Soderling R.
710,Stepanek R.
718,Tipsarevic J.
724,Tursunov D.
730,Youzhny M.
738,Gicquel M.
740,Melzer J.
747,Moya C.
749,Safin M.
752,Starace P.
754,Hanescu V.
757,Montanes A.
761,Querrey S.
772,Troicki V.
781,Acasuso J.
783,Beck A.
785,Becker B.
788,Benneteau J.
795,Koellerer D.
797,Kunitsyn I.
799,Petzschner P.
802,Sela D.
804,Bellucci T.
811,Garcia-Lopez G.
817,Gulbis E.
823,Golubev A.
826,Istomin D.
830,Lu Y.H.
835,Stakhovsky S.
838,Bogomolov A.
841,Dodig I.
846,Dolgopolov O.
854,Granollers M.
860,Mayer F.
865,Mayer L.
872,Tomic B.
877,Andujar P.
881,Berlocq C.
883,Haase R.
887,Janowicz J.
890,Rosol L.
894,Zeballos H.
896,Bautista R.
900,Cuevas P.
906,Pospisil V.
909,Sousa J.
913,Giraldo S.
916,Mahut N.
919,Roger-Vasselin E.
921,Muller G.
926,Sock J.
931,Vesely J.
933,Kuznetsov A.
936,Lorenzi P.
939,Zverev M.
941,Darcis S.
943,Del Potro J. M.
945,Dzumhur D.
948,Sugita Y.
950,Chung H.
952,Ebden M.
954,Gojowczyk P.
